 2006-Mar-30 00:00     13 08 56.33 -04 44 34.8 0.52939082611480  18.3866729 171.1249 /L   5.8061
 2006-Mar-31 00:00     13 08 00.27 -04 40 12.0 0.54009862379163  18.6969724 172.3103 /L   4.9960
 2006-Apr-01 00:00     13 07 05.72 -04 35 58.4 0.55098662961234  19.0106423 173.4718 /L   4.2121
 2006-Apr-02 00:00     13 06 12.72 -04 31 54.5 0.56205665232432  19.3272167 174.5987 /L   3.4609
 2006-Apr-03 00:00     13 05 21.33 -04 28 00.5 0.57331025181263  19.6462999 175.6703 /L   2.7550
 2006-Apr-04 00:00     13 04 31.59 -04 24 16.6 0.58474877882241  19.9675614 176.6414 /L   2.1221
 2006-Apr-05 00:00     13 03 43.53 -04 20 42.9 0.59637340872865  20.2907218 177.4080 /L   1.6257
 2006-Apr-06 00:00     13 02 57.17 -04 17 19.7 0.60818516656556  20.6155377 177.7636 /L   1.3912
 2006-Apr-07 00:00     13 02 12.56 -04 14 06.9 0.62018494448345  20.9417908 177.5360 /T   1.5198
 2006-Apr-08 00:00     13 01 29.69 -04 11 04.8 0.63237351401571  21.2692810 176.8587 /T   1.9227
 2006-Apr-09 00:00     13 00 48.59 -04 08 13.3 0.64475153556329  21.5978233 175.9587 /T   2.4555
 2006-Apr-10 00:00     13 00 09.26 -04 05 32.4 0.65731956709811  21.9272482 174.9598 /T   3.0402
 2006-Apr-11 00:00     12 59 31.72 -04 03 02.2 0.67007807331153  22.2574025 173.9154 /T   3.6433
 2006-Apr-12 00:00     12 58 55.97 -04 00 42.7 0.68302743573530  22.5881517 172.8493 /T   4.2499
 2006-Apr-13 00:00     12 58 22.01 -03 58 33.8 0.69616796378921  22.9193807 171.7737 /T   4.8527
 2006-Apr-14 00:00     12 57 49.84 -03 56 35.4 0.70949990607096  23.2509938 170.6948 /T   5.4477
 2006-Apr-15 00:00     12 57 19.45 -03 54 47.6 0.72302346101072  23.5829125 169.6164 /T   6.0329
 2006-Apr-16 00:00     12 56 50.84 -03 53 10.3 0.73673878561545  23.9150710 168.5407 /T   6.6069
 2006-Apr-17 00:00     12 56 24.00 -03 51 43.4 0.75064600131469  24.2474108 167.4693 /T   7.1689
 2006-Apr-18 00:00     12 55 58.92 -03 50 26.7 0.76474519619164  24.5798739 166.4031 /T   7.7185
 2006-Apr-19 00:00     12 55 35.58 -03 49 20.3 0.77903642312526  24.9123951 165.3426 /T   8.2555
 2006-Apr-20 00:00     12 55 13.98 -03 48 24.0 0.79351969373478  25.2448953 164.2885 /T   8.7797
 2006-Apr-21 00:00     12 54 54.09 -03 47 37.8 0.80819496709968  25.5772706 163.2409 /T   9.2910
 2006-Apr-22 00:00     12 54 35.91 -03 47 01.4 0.82306213421295  25.9093870 162.2001 /T   9.7895
 2006-Apr-23 00:00     12 54 19.43 -03 46 34.9 0.83812099648809  26.2410669 161.1663 /T  10.2752
 2006-Apr-24 00:00     12 54 04.62 -03 46 18.2 0.85337123869847  26.5720831 160.1396 /T  10.7481
 2006-Apr-25 00:00     12 53 51.49 -03 46 11.1 0.86881239907561  26.9021558 159.1200 /T  11.2083
 2006-Apr-26 00:00     12 53 40.01 -03 46 13.7 0.88444384111181  27.2309619 158.1077 /T  11.6559
 2006-Apr-27 00:00     12 53 30.17 -03 46 25.8 0.90026473345729  27.5581544 157.1026 /T  12.0911
 2006-Apr-28 00:00     12 53 21.98 -03 46 47.4 0.91627404507060  27.8833940 156.1049 /T  12.5140
 2006-Apr-29 00:00     12 53 15.40 -03 47 18.3 0.93247055850914  28.2063793 155.1144 /T  12.9247
 2006-Apr-30 00:00     12 53 10.42 -03 47 58.5 0.94885289873816  28.5268684 154.1313 /T  13.3233
 2006-May-01 00:00     12 53 07.01 -03 48 47.8 0.96541957032263  28.8446862 153.1553 /T  13.7101
 2006-May-02 00:00     12 53 05.16 -03 49 46.0 0.98216899462937  29.1597177 152.1866 /T  14.0852
 2006-May-03 00:00     12 53 04.84 -03 50 53.0 0.99909954079120  29.4718944 151.2250 /T  14.4488
 2006-May-04 00:00     12 53 06.01 -03 52 08.5 1.01620954798198  29.7811789 150.2703 /T  14.8011
 2006-May-05 00:00     12 53 08.66 -03 53 32.5 1.03349733965108  30.0875523 149.3226 /T  15.1423
 2006-May-06 00:00     12 53 12.76 -03 55 04.7 1.05096123168369  30.3910064 148.3817 /T  15.4725
 2006-May-07 00:00     12 53 18.27 -03 56 44.9 1.06859953742813  30.6915403 147.4475 /T  15.7921
 2006-May-08 00:00     12 53 25.17 -03 58 33.0 1.08641057162717  30.9891599 146.5199 /T  16.1012
 2006-May-09 00:00     12 53 33.44 -04 00 28.7 1.10439265487135  31.2838801 145.5987 /T  16.3999
 2006-May-10 00:00     12 53 43.04 -04 02 31.9 1.12254411951188  31.5757272 144.6837 /T  16.6886
 2006-May-11 00:00     12 53 53.96 -04 04 42.4 1.14086331710011  31.8647417 143.7750 /T  16.9674
 2006-May-12 00:00     12 54 06.15 -04 07 00.0 1.15934862689685  32.1509791 142.8723 /T  17.2364
 2006-May-13 00:00     12 54 19.59 -04 09 24.5 1.17799846430954  32.4345085 141.9755 /T  17.4960
 2006-May-14 00:00     12 54 34.27 -04 11 55.9 1.19681128740619  32.7154073 141.0845 /T  17.7463
 2006-May-15 00:00     12 54 50.14 -04 14 33.8 1.21578559954885  32.9937534 140.1990 /T  17.9875
 2006-May-16 00:00     12 55 07.18 -04 17 18.1 1.23491994642595  33.2696137 139.3191 /T  18.2197
 2006-May-17 00:00     12 55 25.37 -04 20 08.7 1.25421290654851  33.5430330 138.4445 /T  18.4432
 2006-May-18 00:00     12 55 44.68 -04 23 05.5 1.27366307536003  33.8140236 137.5751 /T  18.6582
 2006-May-19 00:00     12 56 05.08 -04 26 08.1 1.29326904411665  34.0825577 136.7108 /T  18.8647
 2006-May-20 00:00     12 56 26.56 -04 29 16.5 1.31302937531150  34.3485631 135.8515 /T  19.0630
 2006-May-21 00:00     12 56 49.09 -04 32 30.7 1.33294257661136  34.6119222 134.9972 /T  19.2531
 2006-May-22 00:00     12 57 12.65 -04 35 50.3 1.35300707530370  34.8724751 134.1476 /T  19.4354
 2006-May-23 00:00     12 57 37.22 -04 39 15.5 1.37322119544467  35.1300257 133.3027 /T  19.6098
 2006-May-24 00:00     12 58 02.80 -04 42 46.0 1.39358314033536  35.3843542 132.4625 /T  19.7766
 2006-May-25 00:00     12 58 29.37 -04 46 21.7 1.41409098327791  35.6352335 131.6268 /T  19.9358
 2006-May-26 00:00     12 58 56.90 -04 50 02.6 1.43474266912263  35.8824493 130.7956 /T  20.0876
 2006-May-27 00:00     12 59 25.38 -04 53 48.6 1.45553602745058  36.1258196 129.9689 /T  20.2322
 2006-May-28 00:00     12 59 54.79 -04 57 39.5 1.47646879563318  36.3652088 129.1466 /T  20.3697
 2006-May-29 00:00     13 00 25.11 -05 01 35.2 1.49753864756531  36.6005327 128.3285 /T  20.5001
 2006-May-30 00:00     13 00 56.32 -05 05 35.5 1.51874322280688  36.8317554 127.5146 /T  20.6238
 2006-May-31 00:00     13 01 28.40 -05 09 40.4 1.54008015164347  37.0588787 126.7049 /T  20.7407
 2006-Jun-01 00:00     13 02 01.32 -05 13 49.7 1.56154707360918  37.2819308 125.8992 /T  20.8510
 2006-Jun-02 00:00     13 02 35.07 -05 18 03.2 1.58314164923142  37.5009546 125.0974 /T  20.9550
 2006-Jun-03 00:00     13 03 09.63 -05 22 20.8 1.60486156633507  37.7160008 124.2996 /T  21.0526
 2006-Jun-04 00:00     13 03 44.98 -05 26 42.4 1.62670454295518  37.9271229 123.5054 /T  21.1441
 2006-Jun-05 00:00     13 04 21.09 -05 31 07.9 1.64866832892527  38.1343776 122.7150 /T  21.2295
 2006-Jun-06 00:00     13 04 57.96 -05 35 37.1 1.67075070783531  38.3378257 121.9281 /T  21.3091
 2006-Jun-07 00:00     13 05 35.57 -05 40 09.9 1.69294950052810  38.5375360 121.1447 /T  21.3829
 2006-Jun-08 00:00     13 06 13.88 -05 44 46.2 1.71526257068464  38.7335885 120.3647 /T  21.4510
 2006-Jun-09 00:00     13 06 52.90 -05 49 25.9 1.73768783231731  38.9260778 119.5879 /T  21.5137
 2006-Jun-10 00:00     13 07 32.60 -05 54 08.9 1.76022325810526  39.1151122 118.8144 /T  21.5709
 2006-Jun-11 00:00     13 08 12.96 -05 58 55.0 1.78286688652882  39.3008100 118.0439 /T  21.6229
 2006-Jun-12 00:00     13 08 53.97 -06 03 44.2 1.80561682494994  39.4832895 117.2764 /T  21.6698
 2006-Jun-13 00:00     13 09 35.61 -06 08 36.3 1.82847124560244  39.6626543 116.5117 /T  21.7116
 2006-Jun-14 00:00     13 10 17.87 -06 13 31.3 1.85142837235200  39.8389767 115.7499 /T  21.7484
 2006-Jun-15 00:00     13 11 00.72 -06 18 29.0 1.87448645811370  40.0122830 114.9907 /T  21.7805
 2006-Jun-16 00:00     13 11 44.15 -06 23 29.2 1.89764375534602  40.1825446 114.2342 /T  21.8078
 2006-Jun-17 00:00     13 12 28.15 -06 28 32.1 1.92089848396967  40.3496781 113.4801 /T  21.8304
 2006-Jun-18 00:00     13 13 12.71 -06 33 37.4 1.94424880151841  40.5135525 112.7286 /T  21.8485
 2006-Jun-19 00:00     13 13 57.83 -06 38 45.1 1.96769277929995  40.6740026 111.9794 /T  21.8620
 2006-Jun-20 00:00     13 14 43.48 -06 43 55.2 1.99122838660751  40.8308430 111.2326 /T  21.8712
 2006-Jun-21 00:00     13 15 29.68 -06 49 07.6 2.01485348349078  40.9838829 110.4880 /T  21.8761
 2006-Jun-22 00:00     13 16 16.40 -06 54 22.3 2.03856582171173  41.1329403 109.7457 /T  21.8767
 2006-Jun-23 00:00     13 17 03.64 -06 59 39.1 2.06236305312901  41.2778532 109.0057 /T  21.8731
 2006-Jun-24 00:00     13 17 51.39 -07 04 58.1 2.08624274445867  41.4184900 108.2678 /T  21.8654
 2006-Jun-25 00:00     13 18 39.63 -07 10 19.1 2.11020239686514  41.5547561 107.5320 /T  21.8536
 2006-Jun-26 00:00     13 19 28.36 -07 15 42.2 2.13423946821185  41.6865962 106.7984 /T  21.8380
 2006-Jun-27 00:00     13 20 17.56 -07 21 07.1 2.15835139538330  41.8139922 106.0668 /T  21.8184
 2006-Jun-28 00:00     13 21 07.23 -07 26 33.8 2.18253561421401  41.9369573 105.3372 /T  21.7951
 2006-Jun-29 00:00     13 21 57.34 -07 32 02.2 2.20678957528848  42.0555280 104.6096 /T  21.7680
 2006-Jun-30 00:00     13 22 47.90 -07 37 32.3 2.23111075496554  42.1697557 103.8839 /T  21.7373
 2006-Jul-01 00:00     13 23 38.89 -07 43 03.9 2.25549666204839  42.2797005 103.1601 /T  21.7030
 2006-Jul-02 00:00     13 24 30.29 -07 48 37.1 2.27994484127808  42.3854263 102.4381 /T  21.6652
 2006-Jul-03 00:00     13 25 22.11 -07 54 11.6 2.30445287516232  42.4869999 101.7179 /T  21.6240
 2006-Jul-04 00:00     13 26 14.33 -07 59 47.5 2.32901838566329  42.5844915 100.9994 /T  21.5795
 2006-Jul-05 00:00     13 27 06.94 -08 05 24.7 2.35363903703080  42.6779778 100.2825 /T  21.5317
 2006-Jul-06 00:00     13 27 59.94 -08 11 03.1 2.37831254064286  42.7675460  99.5673 /T  21.4807
 2006-Jul-07 00:00     13 28 53.31 -08 16 42.7 2.40303666212473  42.8532974  98.8536 /T  21.4265
 2006-Jul-08 00:00     13 29 47.04 -08 22 23.3 2.42780923013977  42.9353490  98.1414 /T  21.3693
 2006-Jul-09 00:00     13 30 41.13 -08 28 04.9 2.45262814504814  43.0138311  97.4306 /T  21.3091
 2006-Jul-10 00:00     13 31 35.56 -08 33 47.5 2.47749138426764  43.0888781  96.7212 /T  21.2460
 2006-Jul-11 00:00     13 32 30.33 -08 39 31.0 2.50239700018611  43.1606118  96.0130 /T  21.1800
 2006-Jul-12 00:00     13 33 25.42 -08 45 15.2 2.52734310677494  43.2291199  95.3061 /T  21.1112
 2006-Jul-13 00:00     13 34 20.83 -08 51 00.3 2.55232785340382  43.2944343  94.6003 /T  21.0396
 2006-Jul-14 00:00     13 35 16.54 -08 56 46.0 2.57734938846772  43.3565186  93.8957 /T  20.9654
 2006-Jul-15 00:00     13 36 12.56 -09 02 32.3 2.60240581949332  43.4152691  93.1920 /T  20.8885
 2006-Jul-16 00:00     13 37 08.88 -09 08 19.2 2.62749517800064  43.4705295  92.4894 /T  20.8089
 2006-Jul-17 00:00     13 38 05.49 -09 14 06.7 2.65261539553160  43.5221140  91.7878 /T  20.7268
 2006-Jul-18 00:00     13 39 02.40 -09 19 54.8 2.67776429319577  43.5698295  91.0870 /T  20.6422
 2006-Jul-19 00:00     13 39 59.60 -09 25 43.4 2.70293958323874  43.6134945  90.3872 /T  20.5551
 2006-Jul-20 00:00     13 40 57.09 -09 31 32.5 2.72813887914202  43.6529499  89.6882 /T  20.4655
 2006-Jul-21 00:00     13 41 54.86 -09 37 22.1 2.75335971068274  43.6880655  88.9900 /T  20.3736
 2006-Jul-22 00:00     13 42 52.91 -09 43 12.1 2.77859954132182  43.7187420  88.2927 /T  20.2792
 2006-Jul-23 00:00     13 43 51.23 -09 49 02.5 2.80385578632273  43.7449118  87.5962 /T  20.1826
 2006-Jul-24 00:00     13 44 49.81 -09 54 53.2 2.82912583064481  43.7665373  86.9004 /T  20.0836
 2006-Jul-25 00:00     13 45 48.64 -10 00 44.2 2.85440704587520  43.7836092  86.2055 /T  19.9825
 2006-Jul-26 00:00     13 46 47.73 -10 06 35.4 2.87969680547249  43.7961426  85.5113 /T  19.8791
 2006-Jul-27 00:00     13 47 47.06 -10 12 26.7 2.90499249764197  43.8041727  84.8177 /T  19.7736
 2006-Jul-28 00:00     13 48 46.63 -10 18 18.2 2.93029153538793  43.8077493  84.1249 /T  19.6659
 2006-Jul-29 00:00     13 49 46.44 -10 24 09.7 2.95559136368768  43.8069325  83.4328 /T  19.5562
 2006-Jul-30 00:00     13 50 46.48 -10 30 01.3 2.98088946419695  43.8017888  82.7413 /T  19.4445
 2006-Jul-31 00:00     13 51 46.74 -10 35 52.9 3.00618335829367  43.7923890  82.0505 /T  19.3308
 2006-Aug-01 00:00     13 52 47.21 -10 41 44.3 3.03147060951083  43.7788085  81.3602 /T  19.2152
 2006-Aug-02 00:00     13 53 47.91 -10 47 35.7 3.05674882646521  43.7611285  80.6705 /T  19.0977
 2006-Aug-03 00:00     13 54 48.81 -10 53 26.9 3.08201566723849  43.7394397  79.9813 /T  18.9784
 2006-Aug-04 00:00     13 55 49.92 -10 59 18.0 3.10726884580642  43.7138455  79.2927 /T  18.8572
 2006-Aug-05 00:00     13 56 51.22 -11 05 08.8 3.13250614042770  43.6844653  78.6044 /T  18.7343
 2006-Aug-06 00:00     13 57 52.72 -11 10 59.4 3.15772540277620  43.6514335  77.9166 /T  18.6096
 2006-Aug-07 00:00     13 58 54.40 -11 16 49.6 3.18292456506092  43.6148927  77.2292 /T  18.4833
 2006-Aug-08 00:00     13 59 56.26 -11 22 39.5 3.20810164075108  43.5749784  76.5421 /T  18.3553
 2006-Aug-09 00:00     14 00 58.30 -11 28 29.0 3.23325471379538  43.5317947  75.8553 /T  18.2257
 2006-Aug-10 00:00     14 02 00.49 -11 34 18.0 3.25838191279552  43.4853879  75.1687 /T  18.0945
 2006-Aug-11 00:00     14 03 02.85 -11 40 06.5 3.28348137120038  43.4357264  74.4824 /T  17.9618
 2006-Aug-12 00:00     14 04 05.37 -11 45 54.5 3.30855118077057  43.3826987  73.7961 /T  17.8276
 2006-Aug-13 00:00     14 05 08.05 -11 51 42.0 3.33358934962754  43.3261312  73.1100 /T  17.6918
