# OGLE ID        MOA ID	  RA (J2000)	  Dec(J2000)	 Tmax[HJD]    Tmax[UTC]   Talert[HJD]     Talert[UTC]  DeltaT[d]    tE[d]    Umin    Amax   Ibase[mag]   I0[mag]   
None  MOA-2007-BLG-0157  18:07:22.415  -30:55:29.91  2454228.09  None  None  None  None  16.14  0.0945  10.62  None  21.50
None  MOA-2007-BLG-0158  17:51:11.827  -28:33:35.57  2454246.305125  None  None  None  None  6.470521  1.981960  1.0623  17.6856  17.62
None  MOA-2007-BLG-0160  17:57:30.693  -28:58:11.92  2454239.973045  None  None  None  None  3.255405  1.289212  1.1938  25.6523  25.46
None  MOA-2007-BLG-0161  17:56:33.443  -29:23:24.43  2454231.10  None  None  None  None  15.43  0.0207  48.21  None  22.00
None  MOA-2007-BLG-0166  18:01:39.148  -33:14:46.98  2454234.17  None  None  None  None  8.83  0.4292  2.49  None  18.94
None  MOA-2007-BLG-0167  18:14:45.592  -25:26:33.54  2454231.93  None  None  None  None  5.71  6.5182  1.0  None  11.35
None  MOA-2007-BLG-0169  17:52:14.638  -34:21:46.86  2454238.61  None  None  None  None  4.52  1.0977  1.28  None  15.19
None  MOA-2007-BLG-0171  18:05:26.481  -27:43:04.59  2454296.60  None  None  None  None  29.91  6.8391  1.0  None  11.67
None  MOA-2007-BLG-0172  17:58:07.825  -28:45:03.55  2454243.35  None  None  None  None  33.98  0.3532  2.96  None  19.00
None  MOA-2007-BLG-0173  18:13:33.848  -25:16:24.23  2454237.79  None  None  None  None  1.18  4.1703  1.01  None  12.82
None  MOA-2007-BLG-0174  18:13:51.176  -28:44:52.42  2454236.47  None  None  None  None  68.46  0.1191  8.44  None  21.69
None  MOA-2007-BLG-0175  17:56:53.238  -28:54:04.19  2454239.72  None  None  None  None  27.24  0.0330  30.3  None  21.20
None  MOA-2007-BLG-0176  18:05:00.407  -25:47:03.69  2454245.06  None  None  None  None  5.51  0.0564  17.75  None  17.45
None  MOA-2007-BLG-0178  18:10:54.561  -26:09:41.65  2454224.33  None  None  None  None  127.89  0.0700  14.3  None  23.36
None  MOA-2007-BLG-0182  17:58:30.838  -33:15:21.90  2454241.89  None  None  None  None  13.22  0.1786  5.67  None  20.15
None  MOA-2007-BLG-0185  18:04:01.630  -31:20:05.38  2454244.49  None  None  None  None  37.27  0.0486  20.6  None  20.73
None  MOA-2007-BLG-0186  18:10:49.898  -27:07:53.31  2454309.80  None  None  None  None  67.89  4.9498  1.0  None  12.02
None  MOA-2007-BLG-0187  17:57:10.850  -32:44:14.89  2454243.43  None  None  None  None  40.74  0.0262  38.14  None  21.13
None  MOA-2007-BLG-0188  17:57:10.929  -32:44:14.85  2454243.57  None  None  None  None  1492.39  0.0006  1626.42  None  25.58
None  MOA-2007-BLG-0189  18:11:38.546  -26:41:07.75  2454293.15  None  None  None  None  12.36  2.7497  1.02  None  14.23
None  MOA-2007-BLG-0191  17:54:12.942  -31:38:32.36  2454244.52  None  None  None  None  10.12  0.2173  4.68  None  20.80
None  MOA-2007-BLG-0192  18:08:03.798  -27:09:00.27  2454245.41  None  None  None  None  74.28  0.0041  244.37  None  22.24
None  MOA-2007-BLG-0193  17:55:49.873  -30:03:31.15  2454247.56  None  None  None  None  7.12  0.0110  90.53  None  22.10
None  MOA-2007-BLG-0195  17:55:25.603  -32:23:38.21  2454248.75  None  None  None  None  61.85  0.0096  103.71  None  22.74
None  MOA-2007-BLG-0196  18:01:40.335  -29:55:43.47  2454256.02  None  None  None  None  38.29  0.0381  26.25  None  19.99
None  MOA-2007-BLG-0197  18:07:04.729  -31:56:46.77  2454257.12  None  None  None  None  42.13  0.1244  8.09  None  19.32
None  MOA-2007-BLG-0198  18:06:47.872  -28:30:34.91  2454249.06  None  None  None  None  5.59  0.0519  19.28  None  20.24
None  MOA-2007-BLG-0200  18:07:24.919  -25:21:55.76  2454260.93  None  None  None  None  37.54  0.3325  3.13  None  19.62
None  MOA-2007-BLG-0201  17:59:21.612  -31:20:25.38  2454247.59  None  None  None  None  2.52  0.8007  1.53  None  18.32
None  MOA-2007-BLG-0203  18:16:59.149  -23:18:05.11  2454246.01  None  None  None  None  859.70  0.0087  114.51  None  23.35
None  MOA-2007-BLG-0204  18:00:20.288  -30:40:58.18  2454249.55  None  None  None  None  4.12  0.0891  11.26  None  20.48
None  MOA-2007-BLG-0205  18:10:45.089  -27:44:21.67  2454250.33  None  None  None  None  15.58  0.3345  3.11  None  19.68
None  MOA-2007-BLG-0206  18:03:31.537  -33:27:21.36  2454301.53  None  None  None  None  127.96  0.2357  4.33  None  19.57
