2455382.72437 18.818 0.050 6.70 321.0
2455385.47521 18.740 0.042 4.56 639.0
2455386.74797 18.802 0.030 3.92 272.0
2455387.73037 18.819 0.028 3.75 231.0
2455388.56984 18.846 0.033 4.41 243.0
2455389.51077 18.844 0.041 5.49 278.0
2455389.84056 18.781 0.049 6.34 401.0
2455390.77601 18.869 0.045 6.97 215.0
2455391.69445 18.796 0.032 4.36 252.0
2455392.56282 18.843 0.036 4.63 301.0
2455393.66977 18.895 0.047 6.66 228.0
2455396.52967 18.864 0.063 7.19 418.0
2455397.62894 19.006 0.073 7.44 360.0
2455403.59928 18.804 0.042 3.84 718.0
2455404.47324 18.755 0.047 4.41 603.0
2455404.66936 18.731 0.040 4.52 460.0
2455405.68613 18.753 0.045 5.17 399.0
2455407.53879 18.884 0.044 5.65 230.0
2455407.73301 18.755 0.049 5.68 444.0
2455408.66170 18.929 0.052 5.65 391.0
2455409.52748 18.823 0.033 4.77 258.0
2455410.52856 18.835 0.038 4.97 282.0
2455411.56564 18.768 0.027 3.60 251.0
2455412.59592 18.804 0.049 6.23 355.0
2455413.55821 18.803 0.035 4.85 269.0
2455414.60062 18.794 0.027 3.51 227.0
2455418.55270 18.820 0.029 4.32 228.0
2455421.58354 18.786 0.036 5.30 267.0
2455422.55177 18.835 0.037 4.80 305.0
2455425.49802 18.833 0.041 5.00 353.0
2455430.50371 18.797 0.054 4.94 621.0
2455431.50497 18.843 0.045 4.45 592.0
2455433.67821 18.733 0.056 5.27 756.0
2455434.68223 18.809 0.052 5.58 574.0
2455435.68537 18.796 0.041 4.45 470.0
2455437.62528 18.785 0.034 4.87 325.0
2455439.54501 18.771 0.047 6.26 315.0
2455443.55899 18.815 0.040 5.60 319.0
2455444.57051 18.859 0.042 5.95 261.0
2455445.66932 18.764 0.037 5.42 360.0
2455447.47637 18.805 0.053 4.78 772.0
2455448.53551 18.808 0.040 4.84 323.0
2455450.49516 18.803 0.040 5.27 326.0
2455451.54933 18.779 0.051 5.96 395.0
2455453.53661 18.776 0.086 7.26 784.0
2455458.54996 18.837 0.061 6.52 508.0
2455460.50110 18.741 0.046 4.98 460.0
2455461.61178 18.891 0.072 6.42 744.0
2455465.53016 18.824 0.052 6.79 353.0
2455470.56172 18.854 0.045 4.99 398.0
2455473.50697 18.772 0.055 7.36 383.0
2455479.52935 18.617 0.045 6.76 418.0
2455487.54925 18.925 0.066 6.52 658.0
2455492.52299 18.707 0.076 6.88 906.0
2455605.88231 18.923 0.036 4.00 412.0
2455608.88981 18.826 0.058 5.59 712.0
2455611.88143 18.785 0.042 4.57 551.0
2455614.84204 18.801 0.047 5.29 569.0
2455620.83149 18.825 0.044 5.79 356.0
2455624.80877 18.903 0.042 4.74 372.0
2455625.80604 18.962 0.044 4.94 356.0
2455627.79501 18.935 0.059 6.92 329.0
2455629.80920 18.861 0.038 5.38 291.0
2455630.84556 18.691 0.042 6.63 296.0
